id,nct_id,design_group_id,intervention_id
394889009,NCT04535518,332210702,299875529
394889010,NCT04535518,332210701,299875529
394889011,NCT04535518,332210702,299875530
394889012,NCT04535518,332210701,299875530
394889013,NCT04535518,332210702,299875531
394889314,NCT04479358,332210919,299875733
394889315,NCT04479358,332210922,299875733
394889316,NCT04479358,332210920,299875734
394889317,NCT04479358,332210923,299875734
394889318,NCT04479358,332210918,299875735
394889319,NCT04479358,332210921,299875736
394889329,NCT05798611,332210932,299875744
394889330,NCT05798611,332210933,299875744
394889344,NCT06011577,332210949,299875757
394889345,NCT06011577,332210950,299875758
394889403,NCT05493683,332210983,299875796
394889404,NCT05493683,332210983,299875797
394889574,NCT04895046,332211120,299875932
394889575,NCT04895046,332211120,299875933
394889576,NCT04895046,332211120,299875934
394889604,NCT00470249,332211148,299875959
394889605,NCT00470249,332211148,299875960
394889676,NCT04465916,332211211,299876019
394889677,NCT04465916,332211212,299876020
394889678,NCT04465916,332211212,299876021
394889679,NCT04465916,332211211,299876021
394889716,NCT00265863,332211243,299876047
394889737,NCT01408056,332211262,299876068
394889738,NCT01408056,332211263,299876069
394890010,NCT00544778,332211420,299876264
394890011,NCT00544778,332211420,299876265
394890012,NCT00544778,332211420,299876266
394890013,NCT00544778,332211420,299876267
394890014,NCT00544778,332211420,299876268
394890015,NCT00544778,332211420,299876269
394890016,NCT00544778,332211420,299876270
394890017,NCT00544778,332211420,299876271
394890018,NCT00544778,332211420,299876272
394890019,NCT00544778,332211420,299876273
394890020,NCT00544778,332211420,299876274
394890048,NCT05005468,332211444,299876292
394890049,NCT05005468,332211444,299876293
394890064,NCT03112720,332211462,299876308
394890065,NCT03112720,332211463,299876309
394890181,NCT00517868,332211580,299876401
394890182,NCT00517868,332211581,299876401
394890183,NCT00517868,332211580,299876402
394890184,NCT00517868,332211581,299876402
394890208,NCT05349760,332211604,299876419
394890209,NCT05349760,332211605,299876420
394890288,NCT00483119,332211678,299876488
394890289,NCT00483119,332211679,299876488
394890290,NCT00483119,332211679,299876489
394890353,NCT04190056,332211731,299876533
394890354,NCT04190056,332211732,299876533
394890355,NCT04190056,332211731,299876534
394890356,NCT04190056,332211732,299876534
394890357,NCT04190056,332211731,299876535
394890403,NCT01119118,332211766,299876562
394890593,NCT05657457,332211944,299876713
394890621,NCT01340794,332211977,299876735
394890622,NCT01340794,332211977,299876736
394890654,NCT00511329,332212007,299876772
394890740,NCT05005000,332212068,299876819
394890741,NCT05005000,332212069,299876820
394891118,NCT03147040,332212393,299877118
394891119,NCT03147040,332212393,299877119
394891159,NCT06105008,332212427,299877151
394891160,NCT06105008,332212426,299877151
394891161,NCT06105008,332212426,299877152
394891325,NCT01886105,332212562,299877275
394891326,NCT01886105,332212562,299877276
394891327,NCT01886105,332212562,299877277
394891399,NCT04784455,332212628,299877331
394891438,NCT05495724,332212650,299877357
394891439,NCT05495724,332212651,299877358
394891935,NCT00003452,332213041,299877719
394932294,NCT01829464,332247252,299909305
394932295,NCT01829464,332247253,299909306
394932296,NCT01829464,332247254,299909307
394932829,NCT03432195,332247686,299909738
394932830,NCT03432195,332247687,299909738
394932831,NCT03432195,332247688,299909738
